repoLanguage,forkCount,stargazerCount,repoAge,state,deletions,additions,changedFiles,commentsTotalCount,commitsTotalCount,prExperience,isMember,authorComments,reviewersComments,reviewersTotalCount,bodyLength,prSize,reviewTime,purpose
TypeScript,2147,14722,1439.8153703703704,CLOSED,20,20,1,0,1,652,False,0,0,0,728,40,0.6611111111111111,Bug
C#,80,125,783.6623148148147,CLOSED,8,24,3,1,7,174,False,1,0,0,816,32,3262.7677777777776,Document
C#,80,125,783.7553587962963,CLOSED,4,146,6,1,8,28,False,1,0,0,1061,150,356.4558333333333,Document
C++,363,552,502.16837962962967,MERGED,4,1,2,0,2,97,False,0,0,0,1312,5,21.96388888888889,Document
Python,19248,70257,2420.039675925926,CLOSED,3,91,3,4,12,210,False,3,1,1,392,94,115.07416666666667,Feature
Python,19248,70257,2426.220046296296,CLOSED,28,87,4,11,22,154,False,5,6,3,479,115,1346.4394444444445,Feature
TypeScript,5735,42500,3106.153981481482,MERGED,204,7708,418,4,17,912,True,4,0,0,8747,7912,1118.7586111111111,Document
Python,24585,55553,4614.0240277777775,MERGED,198,324,39,7,113,10,False,3,4,3,251,522,1324.6030555555556,Bug
Python,19248,70257,2428.734212962963,CLOSED,7,10,4,0,5,230,False,0,0,0,2070,17,2379.965277777778,Feature
PHP,1093,3326,2817.9709259259257,MERGED,10,76,7,7,27,391,False,3,4,1,2488,86,894.6322222222223,Bug
Perl,286,540,3439.1822916666665,MERGED,8,14,1,6,7,233,False,1,5,5,88,22,648.2961111111111,Feature
Go,421,1654,1477.1969444444446,CLOSED,4,17,1,0,1,61,False,0,0,0,1149,21,0.8969444444444444,Document
TypeScript,178,1359,287.8753819444444,MERGED,0,10,1,0,1,1,True,0,0,0,648,10,0.24583333333333332,Feature
TypeScript,2147,14722,1439.943402777778,MERGED,1,1,1,0,1,30,False,0,0,0,608,2,2.6286111111111112,Bug
TypeScript,2147,14722,1439.2071412037037,MERGED,2,19,1,0,2,151,False,0,0,0,1105,21,0.5583333333333333,Feature
TypeScript,2147,14722,1439.0757060185185,MERGED,1,1,1,0,1,145,False,0,0,0,645,2,23.50111111111111,Feature
Rust,417,2801,884.0786111111111,MERGED,0,81,2,1,5,2,False,1,0,0,1090,81,309.255,Document
PHP,1334,2960,4174.885810185185,MERGED,0,2,1,0,1,853,False,0,0,0,1067,2,0.3219444444444444,Document
C++,2234,23693,2323.8723842592594,MERGED,2,3,1,1,1,283,False,0,1,1,764,5,2.1525,Bug
C++,2234,23693,2323.859363425926,MERGED,10,23,2,1,1,282,False,0,1,1,994,33,1.5552777777777778,Bug
Vue,0,1,212.4613888888889,MERGED,0,2,1,1,1,102,True,0,1,1,645,2,0.058055555555555555,Feature
Rust,128,2771,362.3881712962963,MERGED,0,10,1,0,2,445,True,0,0,0,896,10,15.596111111111112,Feature
C++,2234,23693,2323.9426504629632,MERGED,2,4,1,1,1,172,False,0,1,1,612,6,0.019444444444444445,Feature
Python,2407,12180,198.77609953703703,MERGED,11,42,3,84,44,0,False,14,70,12,3849,53,2861.925,Bug
Go,421,1654,1474.8978356481482,MERGED,1,1,1,2,1,393,True,1,1,1,741,2,25.349444444444444,Bug
C++,2234,23693,2322.032974537037,MERGED,1,5,1,1,3,191,False,0,1,1,455,6,4.254166666666666,Feature
JavaScript,5139,7048,1169.5182523148148,MERGED,9,108,9,5,10,234,False,1,4,2,919,117,191.82055555555556,Bug
TypeScript,2147,14722,1437.1353124999998,MERGED,0,2,1,1,1,55,False,0,1,1,1024,2,0.07611111111111112,Feature
Go,2083,11768,1481.3550694444446,CLOSED,0,55,1,5,1,0,False,2,3,1,2073,55,1091.4716666666666,Document
C++,2234,23693,2324.6841435185183,MERGED,1,3,1,2,1,173,False,1,1,1,780,4,71.16194444444444,Feature
JavaScript,5139,7048,1171.2658912037036,MERGED,1,27,2,5,3,1,False,1,4,3,814,28,83.46972222222222,Feature
PHP,1334,2960,4174.376423611111,CLOSED,0,1,1,1,1,147,False,0,1,1,842,1,12.236666666666666,Feature
Python,2407,12180,204.10917824074076,CLOSED,2,117,4,9,17,111,True,2,7,3,3353,119,193.26527777777778,Document
TypeScript,2147,14722,1439.1713657407408,MERGED,1,9,1,0,1,150,False,0,0,0,1162,10,0.4072222222222222,Bug
TypeScript,41369,87411,2895.767314814815,CLOSED,0,9,1,0,2,550,True,0,0,0,2168,9,1.9808333333333332,Document
TypeScript,216,520,1664.8178356481483,MERGED,9,5,1,0,1,53,False,0,0,0,313,14,3.3066666666666666,Feature
TypeScript,15,34,456.68189814814815,MERGED,2,8,1,0,2,845,False,0,0,0,556,10,0.9794444444444445,Feature
JavaScript,5139,7048,1168.9415277777778,MERGED,0,15,1,1,1,117,False,0,1,1,770,15,0.15138888888888888,Feature
TypeScript,5735,42500,3105.120613425926,MERGED,2,0,2,1,1,910,True,1,0,0,2464,2,0.1125,Document
Go,421,1654,1477.089074074074,MERGED,13,4,3,0,1,396,True,0,0,0,1743,17,20.306944444444444,Bug
F#,271,818,2689.280740740741,MERGED,0,5,1,2,1,5,False,0,2,1,1276,5,269.4486111111111,Bug
C++,2234,23693,2324.9357870370372,MERGED,5,14,2,1,1,510,False,0,1,1,1144,19,1.3727777777777779,Bug
Rust,417,2801,888.0881018518518,MERGED,20,285,15,2,9,142,False,1,1,1,767,305,871.6505555555556,Feature
Go,11875,71337,2655.9377430555555,MERGED,0,7,1,0,1,275,True,0,0,0,1060,7,0.11138888888888888,Feature
Blade,0,0,80.9244212962963,MERGED,0,11,1,0,2,4,False,0,0,0,515,11,2.956111111111111,Feature
JavaScript,5139,7048,1170.589097222222,CLOSED,19,25,3,2,7,235,False,0,2,2,1473,44,94.9011111111111,Feature
F#,271,818,2696.972673611111,MERGED,22,25,3,1,1,53,False,0,1,1,3245,47,342.10027777777776,Document
Go,421,1654,1476.0738657407408,MERGED,7,8,1,0,1,598,False,0,0,0,1335,15,1.1655555555555555,Bug
C++,2234,23693,2324.0447106481483,CLOSED,3887,1837,227,6,26,0,False,3,3,2,1654,5724,263.4736111111111,Document
TypeScript,307,2556,504.42112268518514,CLOSED,2,2,1,0,1,539,True,0,0,0,1083,4,0.6386111111111111,Bug
Go,421,1654,1474.8768634259259,MERGED,9,9,2,0,1,392,True,0,0,0,1483,18,24.31861111111111,Document
TypeScript,2071,16638,1205.2275694444445,CLOSED,3,2,1,1,1,68,True,1,0,0,2305,5,87.89555555555556,Bug
Blade,0,0,82.20027777777777,MERGED,20,41,1,0,2,5,False,0,0,0,628,61,0.028055555555555556,Feature
TypeScript,15,34,457.47356481481484,MERGED,29,55,2,0,3,450,True,0,0,0,1149,84,75.93,Bug
TypeScript,307,2556,504.4445023148148,MERGED,0,12,1,1,2,540,True,1,0,0,956,12,99.81833333333333,Feature
TypeScript,41369,87411,2896.5626967592593,CLOSED,2,2,1,1,1,0,False,1,0,0,2777,4,1160.191111111111,Document
TypeScript,5735,42500,3105.093356481482,MERGED,209,291,22,2,5,909,True,2,0,0,4560,500,1316.5091666666667,Document
TypeScript,41369,87411,2904.458402777778,CLOSED,1,1,1,0,1,1880,True,0,0,0,2194,2,0.02666666666666667,Document
TypeScript,15,34,455.5007060185185,CLOSED,4,7,4,1,1,843,False,1,0,0,1366,11,0.21444444444444444,Feature
JavaScript,8844,63474,4044.6941435185186,MERGED,2,24,5,1,1,0,False,0,1,1,1881,26,131.7927777777778,Document
Go,11875,71337,2655.514351851852,MERGED,0,10,1,0,1,272,True,0,0,0,684,10,0.06444444444444444,Feature
JavaScript,8844,63474,4045.107453703704,MERGED,1832,2102,77,1,26,60,True,0,1,1,1463,3934,101.53888888888889,Document
Go,184,661,1988.3764930555556,CLOSED,4,4,3,1,2,16,True,0,1,1,220,8,1.628611111111111,Bug
TypeScript,2147,14722,1437.0924074074073,MERGED,32,67,4,1,2,10,False,0,1,1,2531,99,0.9944444444444445,Feature
TypeScript,2147,14722,1436.9880208333334,MERGED,31,62,3,1,1,9,False,0,1,1,2253,93,0.345,Feature
TypeScript,15,34,457.50111111111113,MERGED,1,1,1,0,1,451,True,0,0,0,946,2,0.6880555555555555,Bug
JavaScript,8844,63474,4045.245150462963,MERGED,3,1,1,0,2,55,True,0,0,0,1244,4,48.450833333333335,Document
